time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-20T08:50:33.920Z,-16.2546,-174.8699,280.91,4.4,mb,,67,3.789,0.68,us,us1000dp46,2018-04-20T09:09:08.040Z,"124km WSW of Hihifo, Tonga",earthquake,11,8,0.07,58,reviewed,us,us
2018-04-20T08:49:31.295Z,57.6146,-155.432,13.3,2.5,ml,,,,0.5,ak,ak19245599,2018-04-20T08:56:49.650Z,"87km W of Larsen Bay, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-04-20T08:33:26.100Z,38.8328323,-122.802002,1.76,1.37,md,17,54,0.02225,0.05,nc,nc73001726,2018-04-20T11:56:02.968Z,"7km W of Cobb, CA",earthquake,0.24,0.6,0.04,5,automatic,nc,nc
2018-04-20T08:29:27.660Z,57.6122,-155.4425,12.7,2.7,ml,,,,0.58,ak,ak19245591,2018-04-20T09:03:38.040Z,"87km W of Larsen Bay, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-04-20T08:28:01.320Z,25.1879,95.4714,145.04,4.3,mb,,55,1.429,0.91,us,us1000dp3g,2018-04-20T08:49:50.040Z,"111km ESE of Phek, India",earthquake,9,8,0.093,33,reviewed,us,us
2018-04-20T08:16:31.879Z,61.2952,-150.2908,6.4,1.7,ml,,,,0.78,ak,ak19245588,2018-04-20T08:19:34.484Z,"22km WNW of Anchorage, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-04-20T08:12:24.030Z,33.2933333,-117.1336667,17.01,0.65,ml,9,138,0.2259,0.19,ci,ci37918583,2018-04-20T08:15:58.653Z,"10km SSW of Pala, CA",earthquake,1.44,3.5,0.138,3,automatic,ci,ci
2018-04-20T08:05:06.791Z,57.5775,-155.5644,8.2,3.1,ml,,,,0.83,ak,ak19245580,2018-04-20T08:18:01.784Z,"95km W of Larsen Bay, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-04-20T08:03:26.130Z,38.7938347,-122.7886658,4.29,0.5,md,13,94,0.0008776,0.03,nc,nc73001716,2018-04-20T08:18:01.738Z,"3km WNW of The Geysers, CA",earthquake,0.39,1.47,0.05,3,automatic,nc,nc
2018-04-20T07:51:50.200Z,36.9415016,-121.4520035,0.62,1.28,md,8,96,0.05687,0.1,nc,nc73001711,2018-04-20T11:28:02.807Z,"12km NNW of Hollister, CA",earthquake,0.4,7.26,0.16,7,automatic,nc,nc
2018-04-20T07:47:08.567Z,57.6377,-155.4958,5,3.7,ml,,,,0.75,ak,ak19245420,2018-04-20T08:07:32.241Z,"99km W of Larsen Bay, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-04-20T07:41:34.340Z,38.8218346,-122.7948303,2.37,0.55,md,13,69,0.01201,0.03,nc,nc73001706,2018-04-20T07:56:02.617Z,"6km NW of The Geysers, CA",earthquake,0.21,0.5,0.04,3,automatic,nc,nc
2018-04-20T07:40:35.247Z,61.9187,-149.7268,38.6,1.9,ml,,,,0.48,ak,ak19245416,2018-04-20T07:44:26.459Z,"25km NE of Willow, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-04-20T07:31:04.870Z,33.5065,-116.4321667,5.35,1.24,ml,46,79,0.0177,0.19,ci,ci37918575,2018-04-20T07:42:17.000Z,"21km SSW of La Quinta, CA",earthquake,0.23,0.6,0.157,27,automatic,ci,ci
2018-04-20T07:24:49.318Z,55.7577,-155.7038,44.9,2.9,ml,,,,0.79,ak,ak19245415,2018-04-20T08:05:46.040Z,"9km SW of Chirikof Island, Alaska",earthquake,,1,,,automatic,ak,ak
2018-04-20T07:15:18.050Z,33.5003333,-116.7928333,5.82,1.88,ml,74,32,0.07977,0.23,ci,ci37918559,2018-04-20T07:26:16.320Z,"9km NE of Aguanga, CA",earthquake,0.19,0.73,0.123,26,automatic,ci,ci
2018-04-20T07:10:09.710Z,33.498,-116.7961667,4.47,1.88,ml,76,32,0.08329,0.21,ci,ci37918551,2018-04-20T07:21:11.430Z,"9km NE of Aguanga, CA",earthquake,0.17,0.54,0.136,25,automatic,ci,ci
2018-04-20T07:04:06.330Z,33.5023333,-116.7951667,4.36,0.56,ml,21,62,0.07933,0.09,ci,ci37918543,2018-04-20T07:07:44.017Z,"9km NE of Aguanga, CA",earthquake,0.17,0.35,0.13,19,automatic,ci,ci
2018-04-20T07:02:55.140Z,19.3308334,-155.1374969,6.33,1.93,md,36,120,0.04543,0.21,hv,hv70086216,2018-04-20T07:06:08.380Z,"15km SE of Volcano, Hawaii",earthquake,0.55,0.64,0.19,16,automatic,hv,hv
2018-04-20T06:58:14.601Z,61.6565,-150.1593,50.9,1.1,ml,,,,0.41,ak,ak19245413,2018-04-20T07:06:01.680Z,"11km SSW of Willow, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-04-20T06:41:59.600Z,33.3728333,-116.7163315,11.58,1.3,ml,15,66,0.1239,0.1,ci,ci37918535,2018-04-20T06:45:34.427Z,"13km NW of Warner Springs, CA",earthquake,0.45,1.98,0.423,12,automatic,ci,ci
2018-04-20T06:39:39.420Z,33.3685,-116.7226667,13.7,0.94,ml,43,40,0.1181,0.14,ci,ci37918527,2018-04-20T06:43:17.575Z,"13km NW of Warner Springs, CA",earthquake,0.2,0.43,0.117,26,automatic,ci,ci
2018-04-20T06:38:52.211Z,59.7188,-152.9544,102.9,2,ml,,,,0.3,ak,ak19245408,2018-04-20T06:42:56.794Z,"63km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-04-20T06:19:35.661Z,62.5983,-149.5708,16.9,1.5,ml,,,,0.45,ak,ak19245403,2018-04-20T06:22:23.592Z,"41km NE of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-04-20T05:46:51.990Z,57.615,-155.4574,12,2.4,ml,,,,0.77,ak,ak19245400,2018-04-20T05:54:56.390Z,"88km W of Larsen Bay, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-04-20T05:35:28.990Z,19.3406658,-155.508667,3.88,1.85,md,45,53,0.0797,0.23,hv,hv70086206,2018-04-20T05:38:51.590Z,"15km NNW of Pahala, Hawaii",earthquake,0.33,1.95,0.22,26,automatic,hv,hv
2018-04-20T05:28:22.190Z,32.9103333,-116.2581667,8.09,1.11,ml,27,62,0.1393,0.25,ci,ci37918519,2018-04-20T05:32:04.280Z,"27km ENE of Pine Valley, CA",earthquake,0.39,1.7,0.154,20,automatic,ci,ci
